ClassID	ClassLabel	RO_0002488 existence starts during ID	RO_0002488 existence starts during Label	RO_0002492 existence ends during ID	RO_0002492 existence ends during Label	RO_0002496 existence starts during or after ID	RO_0002496 existence starts during or after Label	RO_0002497 existence ends during or before ID	RO_0002497 existence ends during or before Label
BFO:0000030	object								
BFO:0000040	material entity								
CHEBI:15440	squalene								
CHEBI:16646	carbohydrate								
CHEBI:17029	chitin								
CHEBI:17089	glycoprotein								
CHEBI:18059	lipid								
CHEBI:18085	glycosaminoglycan								
CHEBI:18154	polysaccharide								
CHEBI:18246	(1->4)-beta-D-glucan								
CHEBI:21638	N-acylglucosamine								
CHEBI:21656	N-acyl-hexosamine								
CHEBI:22506	aminoglycan								
CHEBI:22985	calcium molecular entity								
CHEBI:23016	carbonates								
CHEBI:23367	molecular entity								
CHEBI:24271	glucosamines								
CHEBI:24431	chemical entity								
CHEBI:24586	hexosamine								
CHEBI:24632	hydrocarbon								
CHEBI:24866	salt								
CHEBI:24913	isoprenoid								
CHEBI:25806	oxygen molecular entity								
CHEBI:28793	beta-D-glucan								
CHEBI:28963	amino sugar								
CHEBI:3311	calcium carbonate								
CHEBI:33245	organic fundamental parent								
CHEBI:33285	heteroorganic entity								
CHEBI:33299	alkaline earth molecular entity								
CHEBI:33302	pnictogen molecular entity								
CHEBI:33304	chalcogen molecular entity								
CHEBI:33579	main group molecular entity								
CHEBI:33582	carbon group molecular entity								
CHEBI:33608	hydrogen molecular entity								
CHEBI:33674	s-block molecular entity								
CHEBI:33675	p-block molecular entity								
CHEBI:33692	hydrides								
CHEBI:33694	biomacromolecule								
CHEBI:33695	information biomacromolecule								
CHEBI:33837	conjugated protein								
CHEBI:33839	macromolecule								
CHEBI:35156	calcium salt								
CHEBI:35186	terpene								
CHEBI:35191	triterpene								
CHEBI:35352	organonitrogen compound								
CHEBI:36080	protein								
CHEBI:36357	polyatomic entity								
CHEBI:36364	alkaline earth salt								
CHEBI:36962	organochalcogen compound								
CHEBI:36963	organooxygen compound								
CHEBI:37163	glucan								
CHEBI:37164	homopolysaccharide								
CHEBI:37175	organic hydride								
CHEBI:37395	mucopolysaccharide								
CHEBI:37577	heteroatomic molecular entity								
CHEBI:46662	mineral								
CHEBI:46721	carbonate salt								
CHEBI:46723	phosphate mineral								
CHEBI:50860	organic molecular entity								
CHEBI:51143	nitrogen molecular entity								
CHEBI:52254	apatite								
CHEBI:52255	hydroxylapatite								
CHEBI:59999	chemical substance								
CHEBI:60004	mixture								
CHEBI:60926	amino monosaccharide								
CHEBI:63299	carbohydrate derivative								
CHEBI:64708	one-carbon compound								
CHEBI:65212	polysaccharide derivative								
CL:0000000	cell								
CL:0000001	primary cultured cell								
CL:0000003	native cell								
CL:0000005	fibroblast neural crest derived					MmusDv:0000015|MmusDv:0000029	Theiler stage 10 (mouse)|Theiler stage 22 (mouse)		
CL:0000006	neuronal receptor cell					MmusDv:0000022|MmusDv:0000015	Theiler stage 15 (mouse)|Theiler stage 10 (mouse)		
CL:0000007	early embryonic cell								
CL:0000008	migratory cranial neural crest cell					MmusDv:0000015|MmusDv:0000029	Theiler stage 10 (mouse)|Theiler stage 22 (mouse)		
CL:0000010	cultured cell								
CL:0000011	migratory trunk neural crest cell					MmusDv:0000015|MmusDv:0000029	Theiler stage 10 (mouse)|Theiler stage 22 (mouse)		
CL:0000014	germ line stem cell								
CL:0000015	male germ cell								
CL:0000016	male germ line stem cell								
CL:0000017	spermatocyte								
CL:0000018	spermatid								
CL:0000019	sperm								
CL:0000020	spermatogonium								
CL:0000021	female germ cell								
CL:0000022	female germ line stem cell								
CL:0000023	oocyte								
CL:0000024	oogonial cell					MmusDv:0000008	Theiler stage 04 (mouse)		
CL:0000025	egg cell								
CL:0000026	invertebrate nurse cell								
CL:0000027	smooth muscle cell neural crest derived					MmusDv:0000015|MmusDv:0000029	Theiler stage 10 (mouse)|Theiler stage 22 (mouse)		
CL:0000028	CNS neuron (sensu Nematoda and Protostomia)					MmusDv:0000022|MmusDv:0000015	Theiler stage 15 (mouse)|Theiler stage 10 (mouse)		
CL:0000029	neuron neural crest derived					MmusDv:0000015|MmusDv:0000029	Theiler stage 10 (mouse)|Theiler stage 22 (mouse)		
CL:0000030	glioblast					MmusDv:0000014	Theiler stage 09 (mouse)		
CL:0000031	neuroblast					MmusDv:0000022|MmusDv:0000015	Theiler stage 15 (mouse)|Theiler stage 10 (mouse)		
CL:0000032	neuroplacodal cell					MmusDv:0000014	Theiler stage 09 (mouse)		
CL:0000033	apocrine cell								
CL:0000034	stem cell								
CL:0000035	single fate stem cell								
CL:0000036	epithelial fate stem cell								
CL:0000037	hematopoietic stem cell								
CL:0000038	erythroid progenitor cell								
CL:0000039	germ line cell								
CL:0000040	monoblast					MmusDv:0000033|MmusDv:0000015	Theiler stage 24 (mouse)|Theiler stage 10 (mouse)		
CL:0000041	mature eosinophil					MmusDv:0000033|MmusDv:0000015	Theiler stage 24 (mouse)|Theiler stage 10 (mouse)		
CL:0000042	neutrophilic myeloblast					MmusDv:0000033|MmusDv:0000015	Theiler stage 24 (mouse)|Theiler stage 10 (mouse)		
CL:0000043	mature basophil					MmusDv:0000033|MmusDv:0000015	Theiler stage 24 (mouse)|Theiler stage 10 (mouse)		
CL:0000047	neuronal stem cell					MmusDv:0000022|MmusDv:0000015	Theiler stage 15 (mouse)|Theiler stage 10 (mouse)		
CL:0000048	multi fate stem cell								
CL:0000049	common myeloid progenitor								
CL:0000050	megakaryocyte-erythroid progenitor cell								
CL:0000051	common lymphoid progenitor								
CL:0000052	totipotent stem cell								
CL:0000054	bone matrix secreting cell								
CL:0000055	non-terminally differentiated cell								
CL:0000056	myoblast					MmusDv:0000008	Theiler stage 04 (mouse)		
CL:0000057	fibroblast								
CL:0000058	chondroblast								
CL:0000059	ameloblast					MmusDv:0000015|MmusDv:0000029	Theiler stage 10 (mouse)|Theiler stage 22 (mouse)		
CL:0000060	odontoblast					MmusDv:0000015|MmusDv:0000029	Theiler stage 10 (mouse)|Theiler stage 22 (mouse)		
CL:0000061	cementoblast					MmusDv:0000015|MmusDv:0000029	Theiler stage 10 (mouse)|Theiler stage 22 (mouse)		
CL:0000062	osteoblast					MmusDv:0000015|MmusDv:0000029	Theiler stage 10 (mouse)|Theiler stage 22 (mouse)		
CL:0000064	ciliated cell								
CL:0000065	ependymal cell					MmusDv:0000014	Theiler stage 09 (mouse)		
CL:0000066	epithelial cell								
CL:0000067	ciliated epithelial cell								
CL:0000068	duct epithelial cell								
CL:0000069	branched duct epithelial cell								
CL:0000071	blood vessel endothelial cell					MmusDv:0000015|MmusDv:0000029	Theiler stage 10 (mouse)|Theiler stage 22 (mouse)		
CL:0000072	non-branched duct epithelial cell					MmusDv:0000008	Theiler stage 04 (mouse)		
CL:0000073	barrier epithelial cell								
CL:0000075	columnar/cuboidal epithelial cell								
CL:0000076	squamous epithelial cell								
CL:0000077	mesothelial cell					MmusDv:0000008	Theiler stage 04 (mouse)		
CL:0000078	peridermal cell								
CL:0000079	stratified epithelial cell								
CL:0000080	circulating cell								
CL:0000081	blood cell								
CL:0000082	epithelial cell of lung					MmusDv:0000015|MmusDv:0000029	Theiler stage 10 (mouse)|Theiler stage 22 (mouse)		
CL:0000083	epithelial cell of pancreas					MmusDv:0000012|UBERON:0000109	Theiler stage 08 (mouse)|gastrula stage		
CL:0000084	T cell								
CL:0000085	germ line stem cell (sensu Vertebrata)								
CL:0000086	germ line stem cell (sensu Nematoda and Protostomia)								
CL:0000087	male germ line stem cell (sensu Nematoda and Protostomia)								
CL:0000088	female germ line stem cell (sensu Nematoda and Protostomia)								
CL:0000089	male germ line stem cell (sensu Vertebrata)								
CL:0000090	female germ line stem cell (sensu Vertebrata)								
CL:0000091	Kupffer cell					MmusDv:0000033|MmusDv:0000015	Theiler stage 24 (mouse)|Theiler stage 10 (mouse)		
CL:0000092	osteoclast					MmusDv:0000033|MmusDv:0000015	Theiler stage 24 (mouse)|Theiler stage 10 (mouse)		
CL:0000094	granulocyte								
CL:0000095	neuron associated cell					MmusDv:0000014|UBERON:0000111	Theiler stage 09 (mouse)|organogenesis stage		
CL:0000096	mature neutrophil					MmusDv:0000033|MmusDv:0000015	Theiler stage 24 (mouse)|Theiler stage 10 (mouse)		
CL:0000097	mast cell					MmusDv:0000033|MmusDv:0000015	Theiler stage 24 (mouse)|Theiler stage 10 (mouse)		
CL:0000098	sensory epithelial cell								
CL:0000099	interneuron					MmusDv:0000022|MmusDv:0000015	Theiler stage 15 (mouse)|Theiler stage 10 (mouse)		
CL:0000100	motor neuron					MmusDv:0000022|MmusDv:0000015	Theiler stage 15 (mouse)|Theiler stage 10 (mouse)		
CL:0000101	sensory neuron					MmusDv:0000022|MmusDv:0000015	Theiler stage 15 (mouse)|Theiler stage 10 (mouse)		
CL:0000102	polymodal neuron					MmusDv:0000022|MmusDv:0000015	Theiler stage 15 (mouse)|Theiler stage 10 (mouse)		
CL:0000103	bipolar neuron					MmusDv:0000022|MmusDv:0000015	Theiler stage 15 (mouse)|Theiler stage 10 (mouse)		
CL:0000104	multipolar neuron					MmusDv:0000022|MmusDv:0000015	Theiler stage 15 (mouse)|Theiler stage 10 (mouse)		
CL:0000105	pseudounipolar neuron					MmusDv:0000022|MmusDv:0000015	Theiler stage 15 (mouse)|Theiler stage 10 (mouse)		
CL:0000106	unipolar neuron					MmusDv:0000022|MmusDv:0000015	Theiler stage 15 (mouse)|Theiler stage 10 (mouse)		
CL:0000107	autonomic neuron					MmusDv:0000022|MmusDv:0000015	Theiler stage 15 (mouse)|Theiler stage 10 (mouse)		
CL:0000108	cholinergic neuron					MmusDv:0000022|MmusDv:0000015	Theiler stage 15 (mouse)|Theiler stage 10 (mouse)		
CL:0000109	adrenergic neuron					MmusDv:0000022|MmusDv:0000015	Theiler stage 15 (mouse)|Theiler stage 10 (mouse)		
CL:0000110	peptidergic neuron					MmusDv:0000022|MmusDv:0000015	Theiler stage 15 (mouse)|Theiler stage 10 (mouse)		
CL:0000111	peripheral neuron					MmusDv:0000022|MmusDv:0000015	Theiler stage 15 (mouse)|Theiler stage 10 (mouse)		
CL:0000112	columnar neuron					MmusDv:0000022|MmusDv:0000015	Theiler stage 15 (mouse)|Theiler stage 10 (mouse)		
CL:0000113	mononuclear phagocyte								
CL:0000114	surface ectodermal cell					MmusDv:0000008	Theiler stage 04 (mouse)		
CL:0000115	endothelial cell					MmusDv:0000008	Theiler stage 04 (mouse)		
CL:0000116	pioneer neuron					MmusDv:0000022|MmusDv:0000015	Theiler stage 15 (mouse)|Theiler stage 10 (mouse)		
CL:0000117	CNS neuron (sensu Vertebrata)					MmusDv:0000022|MmusDv:0000015	Theiler stage 15 (mouse)|Theiler stage 10 (mouse)		
CL:0000118	basket cell					MmusDv:0000022|MmusDv:0000015	Theiler stage 15 (mouse)|Theiler stage 10 (mouse)		
CL:0000119	Golgi cell					MmusDv:0000022|MmusDv:0000015	Theiler stage 15 (mouse)|Theiler stage 10 (mouse)		
CL:0000120	granule cell					MmusDv:0000022|MmusDv:0000015	Theiler stage 15 (mouse)|Theiler stage 10 (mouse)		
CL:0000121	Purkinje cell					MmusDv:0000022|MmusDv:0000015	Theiler stage 15 (mouse)|Theiler stage 10 (mouse)		
CL:0000122	stellate cell					MmusDv:0000022|MmusDv:0000015	Theiler stage 15 (mouse)|Theiler stage 10 (mouse)		
CL:0000123	neuron associated cell (sensu Vertebrata)					MmusDv:0000015|MmusDv:0000029	Theiler stage 10 (mouse)|Theiler stage 22 (mouse)		
CL:0000124	glial cell (sensu Nematoda and Protostomia)					MmusDv:0000021|MmusDv:0000014	Theiler stage 14 (mouse)|Theiler stage 09 (mouse)		
CL:0000125	glial cell					MmusDv:0000014|UBERON:0000111	Theiler stage 09 (mouse)|organogenesis stage		
CL:0000126	macroglial cell					MmusDv:0000015|MmusDv:0000029	Theiler stage 10 (mouse)|Theiler stage 22 (mouse)		
CL:0000127	astrocyte					MmusDv:0000015|MmusDv:0000029	Theiler stage 10 (mouse)|Theiler stage 22 (mouse)		
